Rank,Subject,Test bAcc,Macro F1,N Train,N Test,Time (s)
1,P067,0.3411,0.3364,330,110,14.4
2,P018,0.3333,0.1088,330,22,8.1
3,P040,0.3323,0.3052,330,110,8.8
4,P044,0.3251,0.2419,330,110,8.3
5,P065,0.3238,0.324,330,110,9.5
6,P004,0.3155,0.3083,330,110,8.9
7,P072,0.3142,0.3102,330,110,9.1
8,P058,0.3133,0.2952,330,110,14.6
9,P054,0.3112,0.2862,330,110,9.8
10,P049,0.2989,0.263,330,110,13.3
11,P015,0.2934,0.2669,220,110,6.4
12,P013,0.2849,0.2816,330,110,13.9
13,P030,0.284,0.2785,330,110,8.5
14,P021,0.2838,0.2839,220,110,8.1
15,P052,0.2827,0.2725,330,110,9.5
16,P039,0.2777,0.2148,330,110,7.5
17,P070,0.2776,0.2371,330,110,8.0
18,P020,0.2775,0.2426,440,110,10.2
19,P016,0.2774,0.2782,220,110,9.1
20,P000,0.2761,0.2705,330,110,13.6
21,P033,0.271,0.2491,330,110,9.5
22,P022,0.2696,0.1552,330,110,7.6
23,P071,0.2676,0.244,330,110,8.3
24,P061,0.2672,0.1641,330,110,7.8
25,P002,0.2648,0.2615,330,110,10.3
26,P007,0.2639,0.1246,330,110,6.8
27,P017,0.2631,0.2626,330,110,18.4
28,P059,0.2611,0.246,330,110,13.0
29,P063,0.2592,0.2115,330,110,10.4
30,P027,0.2572,0.2478,220,110,12.9
31,P043,0.2568,0.2279,330,110,7.9
32,P051,0.256,0.2561,330,110,14.1
33,P062,0.2541,0.2536,330,110,15.8
34,P003,0.2503,0.2483,330,110,10.5
35,P057,0.25,0.0985,330,110,6.6
36,P041,0.25,0.1429,220,110,5.6
37,P069,0.25,0.0802,330,110,6.8
38,P023,0.2465,0.2402,330,110,9.9
39,P068,0.2447,0.1055,330,110,7.2
40,P037,0.244,0.2331,330,110,8.3
41,P048,0.2435,0.1942,330,110,8.5
42,P019,0.2414,0.1367,330,110,7.4
43,P001,0.2412,0.1561,330,110,6.4
44,P064,0.2401,0.2199,330,110,7.6
45,P042,0.24,0.2266,220,110,11.5
46,P055,0.2388,0.225,330,110,9.1
47,P031,0.2388,0.239,330,110,11.4
48,P066,0.2379,0.2313,330,110,14.0
49,P010,0.2367,0.2188,330,110,13.2
50,P026,0.2352,0.2375,330,110,11.9
51,P038,0.2341,0.1425,330,110,7.8
52,P050,0.2338,0.1837,330,110,8.3
53,P035,0.231,0.2269,330,110,9.0
54,P025,0.2302,0.1282,330,110,7.8
55,P036,0.2293,0.2096,110,110,6.2
56,P028,0.2279,0.2262,254,110,9.1
57,P014,0.2267,0.1977,330,110,8.5
58,P008,0.224,0.1483,330,107,7.6
59,P005,0.2211,0.2025,220,110,6.8
60,P011,0.2191,0.1874,327,110,7.5
61,P056,0.2182,0.1736,330,110,10.6
62,P073,0.2143,0.1364,77,17,3.7
63,P029,0.213,0.2084,330,110,17.6
64,P045,0.2128,0.1852,330,110,9.3
65,P032,0.2114,0.2148,330,110,12.5
66,P009,0.2103,0.2036,330,110,8.4
67,P012,0.2095,0.1988,330,110,10.8
68,P047,0.206,0.1536,330,110,8.3
69,P034,0.2059,0.1269,330,110,7.5
70,P060,0.2044,0.1918,330,110,12.0
71,P024,0.2038,0.2095,220,110,7.7
72,P053,0.199,0.1833,330,110,14.2
73,P006,0.1835,0.1842,227,94,6.3
74,P046,0.1735,0.1335,326,110,6.5
